timestamp,X,Y,Z
1764061309236,-0.010344,0.014283,-0.009192
1764061309246,-0.007407,0.01733,-0.014245
1764061309256,-0.009545,0.021473,-0.009218
1764061309266,-0.010546,0.009666,-0.014924
1764061309276,-0.009627,0.012687,-0.012382
1764061309286,-0.011804,0.007797,-0.009793
1764061309296,-0.008822,0.018714,-0.011457
1764061309306,-0.007123,0.012903,-0.009541
1764061309316,-0.005276,0.024729,-0.009315
1764061309326,-0.00365,0.027284,-0.009426
1764061309336,-0.016472,-0.001074,-0.007227
1764061309346,-0.014966,-0.001086,-0.010952
1764061309356,-0.014707,0.003784,-0.011095
1764061309367,-0.015275,0.000506,-0.006986
1764061309377,-0.012106,0.001215,-0.009353
1764061309387,-0.01418,0.003008,-0.007943
1764061309397,-0.012904,0.004842,-0.010647
1764061309407,-0.012665,0.006315,-0.010568
1764061309417,-0.011399,0.012726,-0.008946
1764061309427,-0.013839,0.008819,-0.008786
1764061309437,-0.015122,-0.003707,-0.00902
1764061309447,-0.014816,-0.003995,-0.00704
1764061309457,-0.005515,0.021026,-0.009734
1764061309467,-0.005613,0.01622,-0.00994
1764061309477,-0.003614,0.024583,-0.008799
1764061309487,-0.009858,0.01255,-0.010747
1764061309497,-0.00737,0.014349,-0.010206
1764061309507,-0.003995,0.018644,-0.008518
1764061309517,-0.005377,0.019825,-0.00965
1764061309527,-0.006478,0.020741,-0.012561
1764061309537,-0.00325,0.025372,-0.015053
1764061309547,-0.003993,0.025706,-0.012914
1764061309557,-0.00942,0.007225,-0.012732
1764061309567,-0.014946,0.001177,-0.008275
1764061309577,-0.015427,-0.007193,-0.005392
1764061309587,-0.019008,-0.011561,-0.003169
1764061309597,-0.011453,0.009341,-0.005821
1764061309607,-0.005556,0.018665,-0.007458
1764061309617,-0.010036,0.015218,-0.012355
1764061309627,-0.007145,0.015946,-0.010126
1764061309637,-0.014027,0.00492,-0.00765
1764061309647,-0.014046,0.005799,-0.009824
1764061309657,-0.014587,-0.011774,-0.0039
1764061309667,-0.01178,0.003324,-0.008481
1764061309677,-0.00331,0.034982,-0.01313
1764061309687,-0.004861,0.01948,-0.007424
1764061309697,-0.006156,0.01021,-0.010986
1764061309707,-0.011787,0.00991,-0.00758
1764061309717,-0.0084,0.016833,-0.006348
1764061309727,-0.013291,0.012623,-0.011344
1764061309737,-0.012207,0.00807,-0.006281
1764061309747,-0.013724,0.009113,-0.013086
1764061309757,-0.012872,0.009296,-0.008915
1764061309767,-0.01379,0.007887,-0.009786
1764061309777,-0.006551,0.020496,-0.012506
1764061309787,-0.007466,0.022232,-0.01364
1764061309797,-0.008705,0.018118,-0.012781
1764061309807,-0.010196,0.012634,-0.010844
1764061309817,-0.007933,0.019158,-0.007686
1764061309827,-0.006007,0.023609,-0.013493
1764061309837,-0.002222,0.021307,-0.009607
1764061309847,-0.009181,0.016906,-0.012471
1764061309857,-0.007834,0.02138,-0.011726
1764061309867,-0.007162,0.025829,-0.014402
1764061309877,-0.005578,0.025288,-0.01454
1764061309887,-0.003702,0.022533,-0.013165
1764061309897,0.001009,0.035588,-0.008949
1764061309907,-0.004193,0.021382,-0.011206
1764061309917,-0.011959,0.009379,-0.007256
1764061309927,-0.010328,0.010292,-0.006646
1764061309937,-0.012388,0.010555,-0.006431
